state,state_id,crawled_at,upload_start_delay,time_taken_to_upload,upload_start,upload_complete,matcher_time,on_production,filings,total_time
AK,TA22-733,"Wed, 14 Oct 2015 01:15:01 GMT",68.609852,0.493939,16:23.6,16:24.1,164.858999,2015-10-14T01:18:54.962790+00:00,3,233.96279
AK,TA59-731,"Wed, 14 Oct 2015 01:14:26 GMT",163.398382,0.459036,17:23.4,17:23.9,107.954492,2015-10-14T01:18:57.811910+00:00,3,271.81191
AR,15-106-TF,"Tue, 20 Oct 2015 01:12:15 GMT",127.170855,0.359896,14:36.2,14:36.5,-12.632751,2015-10-20T01:14:09.898000+00:00,1,114.898
DC,PGC2015-01,"Tue, 20 Oct 2015 01:14:53 GMT",125.206748,0.564309,17:12.2,17:12.8,129.321733,2015-10-20T01:19:08.092790+00:00,6,255.09279
ID,IPC-E-15-01,"Tue, 20 Oct 2015 06:58:30 GMT",99.426467,4.494651,00:23.4,00:27.9,-33.515408,2015-10-20T06:59:40.405710+00:00,172,70.40571
MA,15-130,"Tue, 20 Oct 2015 01:12:57 GMT",65.52123,0.453254,14:16.5,14:17.0,3.178326,2015-10-20T01:14:06.152810+00:00,17,69.15281
MA,EFSB15-01,"Tue, 20 Oct 2015 01:12:52 GMT",96.940866,1.596531,14:42.9,14:44.5,-2.442057,2015-10-20T01:14:28.095340+00:00,182,96.09534
MA,15-GC-29,"Tue, 20 Oct 2015 01:12:38 GMT",106.937427,0.38246,14:38.9,14:39.3,8.748563,2015-10-20T01:14:34.068450+00:00,1,116.06845
NC,SP-6151 Sub 0,"Tue, 20 Oct 2015 01:11:55 GMT",115.108478,0.557979,14:04.1,14:04.7,18.408863,2015-10-20T01:14:09.075320+00:00,8,134.07532
NC,WR-1467 Sub 2,"Tue, 20 Oct 2015 01:11:15 GMT",175.753022,0.445694,14:24.8,14:25.2,1.466604,2015-10-20T01:14:12.665320+00:00,3,177.66532
NC,WR-1153 Sub 4,"Tue, 20 Oct 2015 01:11:03 GMT",181.082429,0.456329,14:18.1,14:18.5,-2.335958,2015-10-20T01:14:02.202800+00:00,3,179.2028
ND,PU-15-673,"Tue, 20 Oct 2015 05:15:29 GMT",90.668876,0.694759,17:13.7,17:14.4,-34.378755,2015-10-20T05:16:25.984880+00:00,2,56.98488
NH,DE 15-079,"Tue, 20 Oct 2015 01:15:32 GMT",138.994375,0.537781,18:05.0,18:05.5,80.447064,2015-10-20T01:19:11.979220+00:00,31,219.97922
